Coil No.,YS (Mpa),UTS (Mpa),EL (%),rBAR,NVALM,Ra (μm)
CZE332B,662,喜,"1,666",157,24,32
CZC579B,662,喜,"1,666",157,24,32
CZC579C,715,,"1,644",140,24,30
CZE332A,715,713,"1,644",140,24,30
