Coil No.,YS (Mpa),UTS (Mpa),EL (%),rBAR,NVALM,Ra (μm)
CZC579B,368,624,368,G,31,0.8
CZC579C,624,S86265,S86265,G,31,0.8
CZE332A,369,634,30,G,31,0.9
CZE332B,369,634,30,G,31,0.9
