Coil No.,YS (Mpa),UTS (Mpa),EL (%),rBAR,NVALM,Ra (μm)
ST09124T16,142,286,50,1.70,1.13,12.0
ST09124T17,142,286,50,1.70,1.13,12.0
ST09124T18,142,286,50,1.70,1.13,12.0
