Coil No.,YS (Mpa),UTS (Mpa),EL (%),rBAR,NVALM,Ra (μm)
PP09124N46,38.0000,1.69,48,1.0100,179,11.5000
PP09124N47,38.0000,1.69,48,1.0100,179,11.5000
PP09124N48,38.0000,1.69,48,1.0100,179,"11,5000"
