Coil No.,YS (Mpa),UTS (Mpa),EL (%),rBAR,NVALM,Ra (μm)
ST09124T11,178,287,46,1.62,11.5,0.21
ST09124T12,178,287,46,1.62,11.5,0.21
ST09124T13,178,287,46,1.62,11.5,0.21
